,School,Enrollment,Identified,Breakfast,Lunch,group
985,20286,580.0,48.0,11930.1629032,37810.6712084,1.0
986,20310,424.0,287.0,14774.1435484,70377.0073357,3.0
987,20314,1096.0,857.0,50689.196371,116093.056114,1.0
988,20503,1243.0,633.0,6687.2733871,79555.7522424,1.0
989,20506,832.0,530.0,53058.7137097,99266.4012097,3.0
990,20517,4416.0,1889.0,46782.9217742,216959.577377,1.0
991,20519,3099.0,1547.0,78742.7141129,224939.554196,1.0
992,20535,3580.0,1702.0,24214.4237903,190546.075446,1.0
993,20609,548.0,330.0,9731.39637097,38139.7118952,1.0
994,20648,569.0,221.0,57195.9217742,71266.3730951,3.0
995,20658,222.0,87.0,18.1947580645,2460.29431074,1.0
996,20815,640.0,198.0,17135.2633065,28851.6020984,1.0
997,20830,401.0,176.5,8912.63225806,26230.3100453,1.0
998,20851,227.0,17.0,11980.5483871,12010.0954301,1.0
999,20906,196.0,49.0,4002.84677419,9671.21370968,1.0
1000,20971,375.0,190.0,52322.5258065,48005.5411732,1.0
1001,20984,10.9142857143,3.02857142857,713.794354839,687.202016129,1.0
1002,21031,165.0,57.0,19338.228629,19318.6342742,2.0
1003,21100,767.0,233.0,20390.7254032,72414.3552771,1.0
1004,21128,457.0,228.0,15191.2233871,63524.7873976,2.0
1005,21168,631.0,266.0,13914.791129,41866.4950664,1.0
1006,21199,525.0,299.0,17850.4572581,75239.6102473,1.0
1007,21209,717.0,325.0,29345.3455645,92436.603902,1.0
1008,21212,682.0,447.0,38136.2129032,93161.2154556,3.0
1009,21215,901.0,416.0,32977.2991935,100231.460893,3.0
1010,21216,730.0,301.0,30845.7133065,80157.4731855,1.0
1011,21226,1022.0,556.0,43626.8310484,124668.758726,3.0
1012,21280,909.0,429.0,6923.80524194,37514.0819061,1.0
1013,21329,440.0,347.0,28826.0951613,60680.9177419,3.0
1014,21348,261.0,146.0,4184.79435484,19324.785502,1.0
1015,21411,220.0,77.0,2.79919354839,2480.08548387,1.0
1016,21501,1977.0,953.0,17777.6782258,91279.6242586,1.0
1017,21506,2252.0,1129.0,36668.0358871,134771.821265,1.0
1018,21528,191.0,115.0,5214.89758065,6688.67298387,1.0
1019,21531,355.0,216.0,13653.0665323,44379.5760583,1.0
1020,21550,1018.0,211.0,17851.8568548,44368.563044,1.0
